shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
600275,21.40365,-157.80324,170234
600275,21.40343,-157.80328,170235
600275,21.40306,-157.80341,170236
600275,21.4026,-157.80358,170237
600275,21.401928,-157.803924,170238
600275,21.401928,-157.803924,180001
600275,21.40178,-157.804,180002
600275,21.4012,-157.80415,180003
600275,21.401,-157.80417,180004
600275,21.40052,-157.80423,180005
600275,21.40007,-157.80422,180006
600275,21.39953,-157.80412,180007
600275,21.39928,-157.80397,180008
600275,21.399181,-157.803924,180009
600275,21.399181,-157.803924,190001
600275,21.39887,-157.80378,190002
600275,21.39923,-157.803,190003
600275,21.39942,-157.80256,190004
600275,21.3996,-157.80217,190005
600275,21.39969,-157.80184,190006
600275,21.39973,-157.80171,190007
600275,21.39984,-157.80123,190008
600275,21.39986,-157.80101,190009
600275,21.39984,-157.8007,190010
600275,21.39985,-157.80049,190011
600275,21.39986,-157.80031,190012
600275,21.3999,-157.80008,190013
600275,21.39993,-157.79996,190014
600275,21.400012,-157.79972,190015
600275,21.400012,-157.79972,200001
600275,21.40017,-157.79926,200002
600275,21.4003,-157.79916,200003
600275,21.40045,-157.79913,200004
600275,21.4007,-157.79918,200005
600275,21.40108,-157.79933,200006
600275,21.40122,-157.79939,200007
600275,21.40149,-157.79949,200008
600275,21.40185,-157.79959,200009
600275,21.401871,-157.799593,200010
600275,21.401871,-157.799593,210001
600275,21.40206,-157.79962,210002
600275,21.40214,-157.79963,210003
600275,21.40238,-157.79963,210004
600275,21.40261,-157.79961,210005
600275,21.4027,-157.7996,210006
600275,21.40284,-157.79957,210007
600275,21.40295,-157.79954,210008
600275,21.40351,-157.7994,210009
600275,21.40364,-157.79938,210010
600275,21.40402,-157.7993,210011
600275,21.40421,-157.79926,210012
600275,21.40432,-157.79924,210013
600275,21.40441,-157.79922,210014
600275,21.40452,-157.79921,210015
600275,21.40474,-157.79918,210016
600275,21.40499,-157.79917,210017
600275,21.40534,-157.79917,210018
600275,21.40558,-157.79919,210019
600275,21.40569,-157.7992,210020
600275,21.405911,-157.79922,210021
600275,21.405911,-157.79922,220001
600275,21.40603,-157.79923,220002
600275,21.40631,-157.79926,220003
600275,21.40641,-157.79928,220004
600275,21.40654,-157.79929,220005
600275,21.40666,-157.7993,220006
600275,21.40679,-157.79932,220007
600275,21.40692,-157.79933,220008
600275,21.4073,-157.79933,220009
600275,21.40737,-157.79932,220010
600275,21.40741,-157.79932,220011
600275,21.407758,-157.79929,220012
600275,21.407758,-157.79929,230001
600275,21.408,-157.79927,230002
600275,21.40844,-157.79923,230003
600275,21.40869,-157.79919,230004
600275,21.4089,-157.79916,230005
600275,21.40914,-157.79913,230006
600275,21.40932,-157.79911,230007
600275,21.409432,-157.7991,230008
600275,21.409432,-157.7991,240001
600275,21.41023,-157.79903,240002
600275,21.41059,-157.79902,240003
600275,21.41076,-157.79906,240004
600275,21.41093,-157.79912,240005
600275,21.41105,-157.79913,240006
600275,21.41113,-157.79914,240007
600275,21.41132,-157.79918,240008
600275,21.41159,-157.79926,240009
