route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_headsign_short,apc_trip_id,display_code,trip_serial_number,block
189,27692,5348069,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42881,A012,30063559,A-233
13,27692,5348070,ST LOUIS HTS VIA KAPAHULU,0,309699,140114,ST LOUIS KAPAHUL,41383,1411,30066864,14-114
8,27692,5348071,ALA MOANA CENTER - MAKIKI,0,310506,80220,ALA MOANA-MAKIKI,41048,805,30067201,8-095
10,27692,5348073,KALIHI KAI,0,309631,100101,KALIHI KAI,41133,1002,30066162,10-099
13,27692,5348075,ST LOUIS HTS VIA KAPAHULU,0,309698,140070,ST LOUIS KAPAHUL,41336,1411,30066824,14-113
13,27692,5348076,ST LOUIS HTS VIA KAPAHULU,0,309698,140114,ST LOUIS KAPAHUL,41347,1411,30066865,14-113
189,27692,5348078,AHUA LAGOON DRIVE SKYLINE STATION,0,310730,A0314,LAGOON DR STN,42869,A012,30063457,A-232
8,27692,5348079,ALA MOANA CENTER - MAKIKI,0,310505,80220,ALA MOANA-MAKIKI,41039,805,30067202,8-094
189,27692,5348080,AHUA LAGOON DRIVE SKYLINE STATION,0,310729,A0314,LAGOON DR STN,42819,A012,30063486,A-231
10,27692,5348081,LILIHA - JUDD ST,0,309631,100058,LILIHA-JUDD,41145,1006,30066187,10-099
13,27692,5348082,WAIALAE AVENUE,0,309699,140071,WAIALAE AVE,41387,1403,30066866,14-114
25,27692,5348085,FOSTER VILLAGE - PEARLRIDGE,0,309896,320116,FOSTER VILLAGE,41460,3202,30064168,32-120
189,27692,5348086,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42792,A012,30063466,A-230
8,27692,5348087,ALA MOANA CENTER - MAKIKI,0,309858,80220,ALA MOANA-MAKIKI,40592,805,30067208,3-069
189,27692,5348088,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42772,A012,30063488,A-230
